X,Y,source_url,what3words,upstream,name,completeness,uuid,date_modified,source,version,type,physical-address
47.4209776,-18.7954432,http://www.openstreetmap.org/node/4368983295,trawls.doing.noncitizens,OpenStreetMap¶n4368983295,Centre Hospitalier Universitaire Anosiala,29.41%,f01588717c9441f183de013b7995d676,2016/11/16 18:55:29+00,OpenStreetMap,2,hospital,
49.4171914176144,-18.14240185,http://www.openstreetmap.org/way/53578987,presumes.notice.items,openstreetmap¶w53578987,Centre Hospitalier Universitaire de Toamasina,35.29%,5cb6c11083ff462780afff61ee3e2f2e,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,
50.132998,-14.2652104,http://www.openstreetmap.org/node/4276047051,unscrew.gobblers.shiny,OpenStreetMap¶n4276047051,Centre Hospitalier de Référence Régional Sava,29.41%,ff6f107970594e3aa6ece3d288d43991,2016/07/01 16:19:01+00,OpenStreetMap,2,hospital,
46.0486297407493,-18.7732279,http://www.openstreetmap.org/way/191078014,mistreat.parentless.auditions,openstreetmap¶w191078014,Centre Hospitalier de Référence Régional de Bongolava,35.29%,faf82f6a9ca1472590f3aa8b07768697,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,
47.5429754783094,-18.8974308,http://www.openstreetmap.org/way/45980156,snowy.special.showcase,openstreetmap¶w45980156,Centre Hospitalier de Soavinandriana,35.29%,493681a20c8e45eaa3f51ba353675f0c,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,
47.7779959,-21.355927,http://www.openstreetmap.org/node/2363307374,spirited.motifs.genius,openstreetmap¶n2363307374,Centre de Santé de Base II Antaretra,35.29%,6acbee59e1b441288b98d5ce1ffe5b26,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,
47.5224408,-18.9191864,http://www.openstreetmap.org/node/739234476,hook.shipyards.assets,openstreetmap¶n739234476,Centre de Stomatologie de Befelatanana,35.29%,7f8ddfb12593486abc26eaca1b0515db,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,
49.1540506,-18.8419433,http://www.openstreetmap.org/node/3652329106,reviewer.undermines.maintaining,openstreetmap¶n3652329106,Centre de santé Ambila Lemaitso,35.29%,627b4f9a0d7e40cdaee78e7d6de43946,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,
48.8828654,-19.4361369,http://www.openstreetmap.org/node/3865107708,pitiful.vetoed.exciting,OpenStreetMap¶n3865107708,Centre du Sante de Base II Tsarasambo,29.41%,d72f1c17e3864637a41fb2513967106d,2015/11/28 14:38:42+00,OpenStreetMap,2,hospital,
47.9846246887211,-14.8803679,http://www.openstreetmap.org/way/246138550,enthralling.shyly.crop,openstreetmap¶w246138550,Clinic,35.29%,26d7c892b2e84171ac2d688a4bc3c25b,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,
47.5335127,-18.9041954,http://www.openstreetmap.org/node/4045194047,removable.boards.included,OpenStreetMap¶n4045194047,Clinique Appolon,29.41%,93dce1b1321f465089ac6d9d03b5085b,2016/03/07 05:44:22+00,OpenStreetMap,2,clinic,
